| STT | Tiếng Trung | Pinyin | Nghĩa Tiếng Việt |
| 56 | 邊 | biān | Biên, Cạnh, Biên , Đường Viền |
| 57 | 錶 | biăo | Đồng Hồ |
| 58 | 表演 | biǎoyǎn | Biểu Diễn |
| 59 | 別 | bié | Biệt, Khác, Ngoài Ra, Lạ |
| 60 | 別的 | bié de | Khác, Cái Khác |
| 61 | 別人 | biérén | Người Khác |
| 62 | 比方說 | Bǐfāng shuō | Ví Dụ, Chẳng Hạn Như |
| 63 | 比較 | bǐjiào | Tương Đối, Khá |
| 64 | 避免 | Bìmiǎn | Tránh Xa, Trành Khỏi |
| 65 | 病 | bìng | Bệnh, Ốm, Đau, Bịnh |
| 66 | 病房 | bìngfáng | Phòng Bệnh |
| 67 | 餅乾 | bǐnggān | Bánh Quy |
| 68 | 冰淇淋 | bīngqílín | Kem |
| 69 | 病人 | bìngrén | Bệnh Nhân |
| 70 | 冰箱 | bīngxiāng | Tủ Lạnh |
| 71 | 比賽 | bǐsài | Cuộc Thi |
| 72 | 必须 | bìxū | Phải, Nhất Định Phải |
| 73 | 畢業 | bìyè | Tốt Nghiệp |
| 74 | 鼻子 | bízi | Mũi |
| 75 | 伯伯 | bóbo | Bá Bá, Bác |
| 76 | 博物館 | bówùguǎn | Bảo Tàng |
| 77 | 補 | bǔ | Tẩm Bổ, Bổ, Bồi Dưỡng, Bồi Bổ, Bổ Sung |
| 78 | 不客氣 | bù kèqì | Đừng Khách Sáp |
| 79 | 不難 | bù nán | Không Khó |
| 80 | 不限 | bù xiàn | Không Hạn Chế |
| 81 | 不 | bú; bù | Bất, Không |
| 82 | 不必 | bùbì | Không Cần, Khỏi, Khỏi Phải, Không Đáng |
| 83 | 不錯 | bùcuò | Không Tồi, Tốt |
| 84 | 不但 | bùdàn | Không Chỉ |
| 85 | 不斷 | bùduàn | Liên Tục, Không Ngừng |
| 86 | 部分 | Bùfèn | Bộ Phận |
| 87 | 不管 | bùguǎn | Mặc Dù, Cho Dù |
| 88 | 不過 | bùguò | Nhưng Mà |
| 89 | 不好意思 | bùhǎoyìsi | Thực Ngại Quá |
| 90 | 不及 | bùjí | Không Kịp, Chưa Kịp |
| 91 | 不如 | bùrú | Không Bằng, Thua Kém Hơn |
| 92 | 不同 | bùtóng | Khác Biệt |
| 93 | 不一定 | bùyídìng | Không Nhất Định |
| 94 | 不用 | búyòng | Không Cần |
| 95 | 擦 | cā | Chùi, Cọ Xát, Ma Sát, Chà, Cạ, Xoa, Đánh, Quẹt |
| 96 | 才 | cái | Tài Năng, Mới, Vừa Mới |
| 97 | 菜 | cài | Rau, Món Ăn, Thức Ăn, Đồ Ăn |
| 98 | 猜 | cāi | Đoán, Giải Đoán, Suy Đoán, Phỏng Đoán |
| 99 | 菜單 | càidān | Thực Đơn |
| 100 | 參觀 | cānguān | Tham Quan |
| 101 | 參加 | Cānjiā | Tham Gia |
| 102 | 參考 | cānkǎo | Tham Khảo |
| 103 | 餐廳 | cāntīng | Căng Tin, Bếp Ăn |
| 104 | 餐桌 | Cānzhuō | Bàn Ăn |
| 105 | 草 | cǎo | Cỏ |
| 106 | 草地 | căodì | Bãi Cỏ, Đồng Cỏ |
| 107 | 測驗 | cèyàn | Bài Kiểm Tra |
| 108 | 茶 | Chá | Chè |
| 109 | 差不多 | chàbùduō | Hầu Hết, Gần Như |
| 110 | 常 | cháng | Thường |
| 111 | 場 | chǎng | Trận, Cuộc, Đợt, Nơi, Bãi, Trường |
| 112 | 長褲 | cháng kù | Quần Dài |
| 113 | 常常 | chángcháng | Thường, Thường Thường, Hay |
| 114 | 唱歌 | Chànggē | Hát, Ca Hát |
| 115 | 吵 | chǎo | Ồn Ào, Ầm Ĩ |
| 116 | 超級市場 | chāojíshìchăng | Đại Siêu Thị |
| 117 | 超市 | chāoshì | Siêu Thị |
| 118 | 程度 | chéngdù | Trình Độ |
| 119 | 成功 | chénggōng | Thành Công |
| 120 | 成績 | chéngjī | Thành Tích, Điểm Học |
| 121 | 成為 | chéngwéi | Trở Nên |
| 122 | 襯衫 | chènshān | Áo Sơ Mi |
| 123 | 車站 | chēzhàn | Ga Tàu |
| 124 | 池 | Chí | Hồ Bơi, Ao, Hồ |
| 125 | 吃 | Chī | Ăn |
| 126 | 吃飽 | chībăo | Ăn No |
| 127 | 遲到 | chídào | Bị Trễ, Đến Muộn |
| 128 | 吃飯 | Chīfàn | Ăn Cơm |
| 129 | 重修 | chóngxiū | Làm Lại |
| 130 | 出 | chū | Xuất: Ra, Xuất, Đưa Ra |
| 131 | 船 | chuán | Thuyền, Tàu Thủy |
| 132 | 穿 | Chuān | Mặc, Đi, Mang, Đeo |
| 133 | 床 | chuáng | Giường |
| 134 | 窗戶 | chuānghù | Cửa Sổ |
| 135 | 傳統 | chuántǒng | Truyền Thống |
| 136 | 傳真 | chuánzhēn | Fax |
| 137 | 出發 | chūfā | Xuất Phát |
| 138 | 廚房 | chúfáng | Phòng Bếp |
| 139 | 出國 | chūguó | Đi Nước Ngoài |
| 140 | 吹 | chuī | Thổi, Thổi, Hà Hơi, Hỉ |
| 141 | 初級 | chūjí | Sơ Đẳng |
| 142 | 出來 | chūlái | Xuất Hiện, Đi Ra |
| 143 | 處理 | Chǔlǐ | Xử Lý, Đối Phó, Giải Quyết |
| 144 | 春節 | chūnjié | Mùa Thu |
| 145 | 春天 | chūntiān | Mùa Xuân |
| 146 | 出去 | chūqù | Ra, Ra Ngoài (Từ Trong Ra Ngoài) |
| 147 | 出現 | chūxiàn | Xuất Hiện |
| 148 | 次 | cì | Thứ Tự, Thứ Bậc,Lần, Lượt, Chuyến |
| 149 | 此外 | Cǐwài | Ngoài Ra, Bên Cạnh Đó, Hơn Nữa, Vả Lại |
| 150 | 從 | cóng | Từ…. |
| 151 | 聰明 | cōngmíng | Thông Minh |
| 152 | 從前 | cóngqián | Tù Trước, Từ Trước Đó |
| 153 | 錯 | cuò | Sai |
| 154 | 大 | dà | To , Lớn |
| 155 | 打 | dǎ | Đánh, Đập, Gõ |
| 156 | 搭 | dā | Bắc, Dựng, Làm, Khiêng, Khênh, Nhấc |
| 157 | 答案 | Dá àn | Đáp Án, Trả Lời |
| 158 | 打電話 | Dǎ diànhuà | Gọi Điện Thoại |
| 159 | 大概 | dàgài | Đại Khái, Có Lẽ, Có Thể, Khoảng |
| 160 | 袋 | Dài | Túi, Bao, Gói |
| 161 | 帶 | dài | Đeo, Mang, Cầm |
| 162 | 戴 | dài | Đội, Đeo, Cài, Mang |
| 163 | 袋子 | dàizi | Túi, Cái Túi |
| 164 | 大家 | Dàjiā | Mọi Người |
| 165 | 打開 | dǎkāi | Mở |
| 166 | 但 | Dàn | Lại, Mà Lại, Nhưng Mà |
| 167 | 蛋 | dàn | Trứng |
| 168 | 當 | dāng | Đương, Trong Khi |
| 169 | 蛋糕 | dàngāo | Bánh Ngọt |
| 170 | 當然 | dāngrán | Đương Nhiên |
| 171 | 但是 | dànshì | Nhưng Mà, Tuy Nhiên |
| 172 | 擔心 | dānxīn | Lo Lắng |
| 173 | 到 | dào | Đến |
| 174 | 道 | dào | Đường, Con Đường, Đạo Đức, Chí Hướng, Lý Lẽ |
| 175 | 倒 | dào | Ngã, Lộn, Ngược Lại |
| 176 | 刀叉 | dāochā | Dao Nĩa |
| 177 | 到處 | dàochù | Mọi Nơi |
| 178 | 到底 | dàodǐ | Tóm Lại, Rốt Cuộc, Nói Cho Cùng, Thì Ra, Vẫn Là |
| 179 | 道理 | dàolǐ | Đạo Lý, Có Lý |
| 180 | 打球 | Dǎqiú | Chơi Bóng |
| 181 | 打掃 | dǎsǎo | Lau Dọn |
| 182 | 大聲 | dàshēng | Ầm Ĩ |
| 183 | 打算 | Dǎsuàn | Dự Kiến, Dự Định |
| 184 | 大學 | dàxué | Đại Học |
| 185 | 大衣 | dàyī | Áo Choàng |
| 186 | 的 | de | Trợ Từ, Dùng Sau Định Ngữ |
| 187 | 得 | de | Được, Có Thể |
| 188 | 得到 | dédào | Đạt Được, Được, Nhận Được |
| 189 | 德國 | déguó | Nước Đức |
| 190 | 等 | děng | Chờ Đợi |
| 191 | 燈 | dēng | Đèn |
| 192 | 地 | dì | Địa: Đất, Trái Đất, Địa Cầu, Mặt Đất, Vỏ Quả Đất |
| 193 | 第 | dì | Thứ Tự |
| 194 | 低 | dī | Thấp |
| 195 | 地上 | dì shàng | Trên Mặt Đất |
| 196 | 店 | Diàn | Tiệm, Quán |
| 197 | 電 | diàn |
| 198 | 典 | diǎn | Kinh Điển, Điển |
| 199 | 點 | diǎn | Điểm: Giọt, Hạt, Chấm, Điểm |
| 200 | 點菜 | diǎn cài | Gọi Món |
| 201 | 點鐘 | Diǎn zhōng | Giờ, Đúng Giờ |
| 202 | 電燈 | diàndēng | Bóng Đèn |
| 203 | 電話 | diànhuà | Điện Thoại |
| 204 | 電腦 | Diànnǎo | Máy Tính |
| 205 | 電視 | Diànshì | Ti Vi |
| 206 | 電梯 | diàntī | Thang Máy |
| 207 | 點心 | diǎnxīn | Món Tráng Miệng, Điểm Tâm |
| 208 | 電影 | diànyǐng | Điện Ảnh, Phim |
| 209 | 電影院 | diànyǐngyuàn | Rạp Chiếu Phim |
| 210 | 掉 | diào | Rơi, Rớt |
| 211 | 調查 | Diàochá | Điều Tra |
| 212 | 弟弟 | dìdì | Em Trai |
| 213 | 地方 | dìfāng | Địa Điểm |
| 214 | 訂 | dìng | Đặt |
| 215 | 頂 | dǐng | Đỉnh, Đứng Đầu, Đội Lên, Cái (Lượng Từ) |
| 216 | 地圖 | dìtú | Bản Đồ |
| 217 | 丟 | diū | Mất |
| 218 | 丟掉 | diūdiào | Vứt Đi |
| 219 | 動 | dòng | Di Chuyển, Động |
| 220 | 懂 | dǒng | Hiểu |
| 221 | 東 | dōng | Đông, Họ Đông, Hướng Đông |
| 222 | 東邊 | dōngbiān | Hướng Đông |
| 223 | 東部 | dōngbù | Phía Đông |
| 224 | 冬天 | dōngtiān | Mùa Đông |
| 225 | 動物 | dòngwù | Động Vật |
| 226 | 動物園 | dòngwùyuán | Vườn Bách Thú, Công Viên Thú |
| 227 | 東西 | Dōngxī | Đồ Vật, Cái Gì Đó |
| 228 | 都 | dōu | Đều, Toàn |
| 229 | 讀 | dú | Đọc, Đi Học, Đến Trường |
| 230 | 段 | Duàn | Đoạn |
| 231 | 短 | Duǎn | Ngắn |
| 232 | 短文 | Duǎnwén | Đoạn Văn, Đoạn Thoại |
| 233 | 堆 | duī | Đống |
| 234 | 對 | dùi | Phải, Đối Với,.. |
| 235 | 對不起 | duìbùqǐ | Xin Lỗi |
| 236 | 對方 | duìfāng | Đối Phương, Ngươi Kia |
| 237 | 對面 | duìmiàn | Đối Diện |
| 238 | 朵 | duǒ | Đoá, Đám (Lượng Từ) |
| 239 | 多 | duō | Nhiều |
| 240 | 多久 | duōjiǔ | Bao Lâu |
| 241 | 多少 | Duōshǎo | Bao Nhiêu |
| 242 | 多數 | Duōshù | Hầu Hết |
| 243 | 讀書 | dúshū | Đọc Sách, Đi Học |
| 244 | 肚子 | dùzi | Bụng |
| 245 | 餓 | è | Đói |
| 246 | 二 | èr | Nhị: Số 2 |
| 247 | 耳朵 | ěrduǒ | Tai |
| 248 | 而且 | érqiě | Mà Còn, Với Lại。(Liên Từ, Kết Hợp Với '不但、不仅') |
| 249 | 兒子 | érzi | Con Trai |
| 250 | 法國 | Fàguó | Pháp |
| 251 | 飯 | fàn | Cơm, Bữa Cơm |
| 252 | 飯店 | fàndiàn | Khách Sạn |
| 253 | 房 | fáng | Phòng, Buồng |
| 254 | 放 | fàng | Đặt, Để |
| 255 | 房子 | fáng·zi | Nhà, Nhà Cửa, Cái Nhà |
| 256 | 方便 | fāngbiàn | Thuận Tiện, Thuận Lợi |
| 257 | 方法 | fāngfǎ | Phương Pháp |
| 258 | 放假 | fàngjià | Kì Nghỉ |
| 259 | 房間 | fángjiān | Phòng, Phòng Ở |
| 260 | 方面 | fāngmiàn | Phương Diện, Lĩnh Vực |
| 261 | 方式 | fāngshì | Phương Thức, Cách |
| 262 | 放下 | fàngxià | Đặt Xuống |
| 263 | 方向 | fāngxiàng | Phương Hướng |
| 264 | 放心 | fàngxīn | Yên Tâm |
| 265 | 發生 | fāshēng | Xảy Ra, Phát Sinh |
| 266 | 發現 | fāxiàn | Phát Hiện |
| 267 | 發展 | fāzhǎn | Phát Triển |
| 268 | 飛 | fēi | Bay |
| 269 | 非常 | fēicháng | Rất |
| 270 | 飛機 | fēijī | Máy Bay |
| 271 | 分 | fēn | Phân, Phút, Phần Trăm |
| 272 | 風 | Fēng | Phong: Gió |
| 273 | 封 | fēng | Bức, Lá, Phong (Thư) |
| 274 | 封信 | fēng xìn | Bức Thư |
| 275 | 風潮 | fēngcháo | Phòng Chào, Xu Thế |
| 276 | 風景 | fēngjǐng | Phong Cảnh |
| 277 | 分鐘 | fēnzhōng | Phút |
| 278 | 付 | fù | Chi Trả, Chi, Chi Tiền |
| 279 | 付錢 | fù qián | Trả Tiền |
| 280 | 符合 | fúhé | Phù Hợp Với |
| 281 | 附近 | fùjìn | Lân Cận |
| 282 | 父親 | fùqīn | Phụ Thân, Bố |
| 283 | 服務 | fúwù | Phục Vụ |
| 284 | 服務生 | fúwùshēng | Người Phục Vụ |
| 285 | 負責 | fùzé | Chịu Trách Nhiệm |
| 286 | 蓋 | gài | Xây Dựng |
| 287 | 改 | găi | Cải, Thay Đổi, Đổi, Đổi Thay, Biến Đổi |
| 288 | 改變 | gǎibiàn | Thay Đổi, Cải Biến |
| 289 | 改善 | gǎishàn | Cải Thiện, Cải Tiến |
| 290 | 敢 | gǎn | Dám |
| 291 | 乾 | gān | Khô, Khô Khan |
| 292 | 剛 | Gāng | Vừa, Vừa Mới, Cương, Cứng |
| 293 | 剛剛 | gānggāng | Vừa Mới Xong |
| 294 | 鋼琴 | gāngqín | Đàn Piano |
| 295 | 乾淨 | gānjìng | Sạch Sẽ |
| 296 | 感覺 | gǎnjué | Cảm Thấy, Cảm Giác |
| 297 | 感冒 | gǎnmào | Cảm Cúm |
| 298 | 感情 | gǎnqíng | Cảm Xúc, Cảm Tình |
| 299 | 感謝 | gǎnxiè | Cảm Ơn |
| 300 | 高 | Gāo | Gao, Họ Cao |
| 301 | 告訴 | gàosù | Bảo, Nói Cho Biết |
| 302 | 高鐵 | gāotiě | Đường Sắt Cao Tốc |
| 303 | 高興 | gāoxìng | Vui Mừng |
| 304 | 個 | ge | Cái, Lượng Từ Chỉ Số Lượng |
| 305 | 歌 | gē | Ca, Ca Khúc, Ca, Bài Hát, Bài Ca |
| 306 | 歌唱 | gēchàng | Ca Hát |
| 307 | 哥哥 | Gēgē | Anh Trai |
| 308 | 給 | Gěi | Đưa, Chom, Giao Cho, Đưa Cho |
| 309 | 跟 | Gēn | Với, Cùng Với, Và |
| 310 | 更 | gèng | Càng, Thêm, Hơn Nữa |
| 311 | 更好 | gèng hǎo | Tốt Hơn |
| 312 | 根據 | Gēnjù | Căn Cứ, Căn Cứ Vào, Dựa Vào。 |
| 313 | 工廠 | gōngchǎng | Nhà Máy |
| 314 | 公車 | gōngchē | Xe Buýt |
| 315 | 公共汽車 | gōnggòngqìchē | Xe Bus |
| 316 | 功課 | gōngkè | Bài Học, Môn Học, Môn |
| 317 | 公司 | Gōngsī | Công Ty |
| 318 | 恭喜 | gōngxǐ | Cung Hỉ: Chúc Mừng |
| 319 | 公寓 | gōngyù | Căn Hộ, Ký Túc Xá |
| 320 | 公園 | gōngyuán | Công Viên |
| 321 | 工作 | Gōngzuò | Công Việc |
| 322 | 夠 | gòu | Đủ |
| 323 | 狗 | Gǒu | Chó |
| 324 | 菇 | gū | Nấm |
| 325 | 掛 | guà | Treo |
| 326 | 掛號 | guàhào | Đăng Ký |
| 327 | 乖 | guāi | Ngoan, Ngoan Ngoãn, Biết Nghe Lời, Không Quấy。 |
| 328 | 關 | guān | Đóng |
| 329 | 逛 | guàng | Đi Dạo, Đi Bách Bộ, Dạo Chơi, Đi Chơi, Đi Ngao Du |
| 330 | 光 | guāng | Ánh Sáng, Hết, Sạch, Sạch Trơn, Hết Sạch |
| 331 | 廣告 | guǎnggào | Quảng Cáo |
| 332 | 光臨 | guānglín | Quang Lâm, Đến Thăm |
| 333 | 管理 | guǎnlǐ | Quản Lý |
| 334 | 關門 | guānmén | Đóng Cửa |
| 335 | 觀念 | guānniàn | Quan Niệm |
| 336 | 關上 | guānshàng | Đóng Lại, Mạch Cổ Tay |
| 337 | 關係 | guānxì | Mối Quan Hệ, Quan Hệ, Liên Hệ |
| 338 | 關心 | guānxīn | Quan Tâm |
| 339 | 觀眾 | guānzhòng | Khán Giả |
| 340 | 貴 | guì | Đắt, Quý |
| 341 | 規矩 | guījǔ | Luật Lệ, Quy Định |
| 342 | 櫃子 | guìzi | Cái Tủ |
| 343 | 顧客 | gùkè | Khách Hàng |
| 344 | 國 | guó | Quốc, Đất Nước |
| 345 | 過 | guò | Vượt Qua, Qua |
| 346 | 過程 | Guòchéng | Quá Trình |
| 347 | 過來 | guòlái | Lại, Sang Đây |
| 348 | 國內 | guónèi | Quốc Nội, Trong Nước |
| 349 | 過年 | guònián | Năm Mới |
| 350 | 過去 | guòqù | Đã Qua, Quá Khứ, Trước Đây |
| 351 | 果汁 | guǒzhī | Nước Trái Cây |
| 352 | 故事 | Gùshì | Câu Chuyện |
| 353 | 還 | hái | Cong, Vẫn, Vẫn Còn, Hoàn Lại, Trở Lại |
| 354 | 害 | hài | Có Hại |
| 355 | 海 | Hǎi | Biển |
| 356 | 孩（子） | hái（ zi） | Nhi Đồng, Trẻ Em, Trẻ Con, Con Nít, Em Bé |
| 357 | 海邊 | hǎibiān | Bờ Biển |
| 358 | 害怕 | hàipà | Sợ, Sợ Hãi, Sợ Sệt |
| 359 | 還是 | háishì | Hay Là |
| 360 | 漢堡 | hànbǎo | Bánh Hamburger |
| 361 | 韓國 | Hánguó | Hàn Quốc |
| 362 | 寒假 | Hánjià | Kỳ Nghỉ Đông |
| 363 | 漢語 | hànyŭ | Hán Ngữ |
| 364 | 漢字 | hànzì | Hán Từ, Chữ Hán, Chữ Hoa, Chữ Trung Quốc |
| 365 | 號 | hào | Hiệu, Số, Cỡ |
| 366 | 好 | hăo | Hão, Tốt, Lành, Đẹp |
| 367 | 好吃 | hăochī | Ăn Ngon, Món Ăn Ngon |
| 368 | 好吃好喝 | hàochī hàohē | Sành Ăn, Thích Ăn Ngon, Thích Ăn Uống |
| 369 | 好看 | hăokàn | Đẹp, Coi Được, Xinh, Xinh Đẹp, Đẹp Đẽ, Đẹp Mắt |
| 370 | 號碼 | hàomǎ | Con Số, Số Thứ Tự, Con Số |
| 371 | 好玩 | hăowán | Thú Vị, Thích Thú |
| 372 | 好像 | hăoxiàng | Hình Như, Dường Như, Như, Giống Như, Giống Hệt |
| 373 | 河 | hé | Dòng Sông, Sông |
| 374 | 喝 | Hē | Uống |
| 375 | 黑 | hēi | Đen |
| 376 | 黑板 | hēibǎn | Bảng Đen |
| 377 | 黑色 | hēisè | Màu Đen |
| 378 | 喝酒 | hējiǔ | Uống Rượu |
| 379 | 很 | hěn | Rất, Lắm, Quá, Hết Sức, Cực Kỳ (Phó Từ) |
| 380 | 很美 | hěn měi | Rất Đẹp |
| 381 | 很多 | hěnduō | Rất Nhiều |
| 382 | 紅 | Hóng | Màu Đỏ, Hồng |
| 383 | 紅包 | hóngbāo | Hồng Bao, Tiền Lì Xì, Tiền Thưởng |
| 384 | 紅茶 | hóngchá | Hồng Trà |
| 385 | 紅綠燈 | Hónglǜdēng | Đèn Giao Thông |
| 386 | 後 | hòu | Hậu: Họ Hậu, Sau, Phía Sau |
| 387 | 後邊 | hòubian | Phía Sau |
| 388 | 後來 | Hòulái | Về Sau, Sau Này, Sau, Sau Đó |
| 389 | 湖 | Hú | Hồ, Hồ, Hồ Nước |
| 390 | 畫 | huà | Bức Tranh, Vẽ |
| 391 | 花 | Huā | Hoa |
| 392 | 花錢 | huā qián | Tiêu Tiền |
| 393 | 滑鼠 | huá shǔ | Chuột Máy Tính |
| 394 | 花朵 | huāduǒ | Bông Hoa |
| 395 | 壞 | huài | Hoại: Xấu, Không Tốt |
| 396 | 畫家 | huàjiā | Họa Gia, Họa Sỹ |
| 397 | 換 | huàn | Thay Đổi, Đổi |
| 398 | 還給 | huán gěi | Trả Lại |
| 399 | 黃 | huáng | Hoàng, Họ Hoàng, Màu Vàng |
| 400 | 環境 | huánjìng | Môi Trường |
| 401 | 歡迎 | huānyíng | Chào Mừng |
| 402 | 花瓶 | huāpíng | Lọ Cắm Hoa |
| 403 | 花香 | huāxiāng | Mùi Thơm Của Hoa |
| 404 | 滑雪 | huáxuě | Trượt Tuyết |
| 405 | 花園 | huāyuán | Vườn Hoa |
| 406 | 化妝 | Huàzhuāng | Chăm Sóc Da, Hóa Trang |
| 407 | 回 | huí | Về, Trở Về, Trả Về |
| 408 | 會 | huì | Có Thể |
| 409 | 回家 | huí jiā | Về Nhà |
| 410 | 回答 | huídá | Trả Lời, Hồi Đáp |
| 411 | 回去 | huíqù | Trở Lại, Trở Về, Đi Về, Về |
| 412 | 活 | huó | Sống, Sinh Sống, Sinh Hoạt |
| 413 | 或 | huò | Có Thể, Có Lẽ, Chắc Là |
| 414 | 火 | huǒ | Hỏa: Lửa |
| 415 | 或是 | huò shì | Hoặc |
| 416 | 火車 | huǒchē | Xe Lửa, Tầu Hỏa |
| 417 | 活動 | huódòng | Hoạt Động |
| 418 | 護士 | hùshì | Y Tá |
| 419 | 寄 | jì | Gửi |
| 420 | 記 | jì | Nhớ |
| 421 | 幾 | jǐ | Mấy (Hỏi Số), Vài, Mấy (Số Lượng 1-10) |
| 422 | 記錯 | jì cuò | Nhớ Nhầm |
| 423 | 計畫 | jì huà | Kế Hoạch |
| 424 | 價 | jià | Giá |
| 425 | 加 | jiā | Phép Cộng, Cộng, Tăng, Gia, Thêm, Gia Tăng |
| 426 | 家 | jiā | Gia: Gia Đình, Nhà, Nhà, Gia, Phái |
| 427 | 加班 | jiābān | Làm Thêm Giờ, Tăng Ca |
| 428 | 價格 | jiàgé | Giá Cả |
| 429 | 家具 | jiājù | Nội Thất |
| 430 | 件 | Jiàn | Cái, Kiện.. |
| 431 | 間 | jiān | Gian: Giữa, Ở Giữa |
| 432 | 檢查 | jiǎnchá | Điều Tra, Kiểm Tra |
| 433 | 簡單 | jiǎndān | Đơn Giản |
| 434 | 講 | jiǎng | Nói Chuyện, Giảng |
| 435 | 講話 | jiǎnghuà | Nói Chuyện, Giảng Giải |
| 436 | 健康 | jiànkāng | Sức Khỏe |
| 437 | 見面 | Jiànmiàn | Gặp Mặt, Gặp Nhau |
| 438 | 建議 | jiànyì | Gợi Ý |
| 439 | 叫 | jiào | Gọi |
| 440 | 腳 | jiăo | Cước: Bàn Chân, Chân |
| 441 | 餃 | jiăo | Sủi Cảo, Bánh Chẻo |
| 442 | 交 | jiāo | Giao |
| 443 | 教 | jiāo | Giáo: Dạy Dỗ, Giáo Dục, Chỉ Bảo |
| 444 | 郊區 | jiāoqū | Vùng Ngoại Ô |
| 445 | 教室 | Jiàoshì | Giảng Đường, Phòng Học |
| 446 | 教書 | jiāoshū | Dạy Học |
| 447 | 腳踏車 | jiǎotàchē | Xe Đạp |
| 448 | 交通 | jiāotōng | Giao Thông |
| 449 | 家人 | jiārén | Người Nhà, Gia Đình |
| 450 | 家庭 | jiātíng | Gia Đình |
| 451 | 嘉義 | jiāyì | Gia Nghĩa (Tp Đài Loan) |
| 452 | 價值 | jiàzhí | Giá Trị |
| 453 | 機場 | jīchǎng | Sân Bay |
| 454 | 計程車 | jìchéngchē | Xe Taxi |
| 455 | 基礎 | jīchǔ | Cơ Bản |
| 456 | 界 | jiè | Giới, Danh Giới |
| 457 | 借 | jiè | Vay Mượn |
| 458 | 接 | jiē | Đón Nhận, Nhận, Nhận Lấy, Đỡ Lấy, Đón |
| 459 | 結果 | jiéguǒ | Kết Quả |
| 460 | 結婚 | jiéhūn | Kết Hôn |
| 461 | 姐姐 | jiějie | Tỷ Tỷ, Chị Gái |
| 462 | 解決 | jiějué | Giải Quyết, Dàn Xếp, Tháo Gỡ, Thu Xếp |
| 463 | 節目 | jiémù | Chương Trình, Tiếtmục |
| 464 | 介紹 | jièshào | Giới Thiệu |
